pathway	Buffington_201_001	Buffington_201_002	Buffington_201_003	Buffington_201_005	Buffington_201_006	Buffington_201_007	Buffington_201_008	Buffington_201_009	Buffington_201_010	Buffington_201_011	Buffington_201_013	Buffington_201_014
1CMET2-PWY	6793.081618880402	5509.690186992997	8191.240560010737	9417.447296814078	6691.992692440659	9604.181177156177	5167.192117658717	5308.986453932098	7674.445807161494	7086.207086506568	5296.624510204779	9244.245673845371
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	12.36350182918847	13.910137992874386	0.23993813896429153	0.31443535495284886	0.0	0.0	0.1864311925518828	0.0	3.2915167988457847	0.0	46.82709037782172	0.9964791877637749
ALL-CHORISMATE-PWY	1809.0346988528972	301.31032766651015	103.86799370837973	36.788477770632845	235.2426027975099	22.09065950831268	171.282898541214	0.0	508.9200626317735	330.0506178594444	655.35591858326	486.8512146569373
ANAEROFRUCAT-PWY	6051.444178892594	5901.883496649752	5443.229097303013	9578.311981274423	6991.774904979237	9532.713589277819	2662.413979928209	4566.230213096751	8419.585864870147	6990.765474555951	3124.479524437372	9096.367285292745
ANAGLYCOLYSIS-PWY	9272.25265185785	7283.7347334632195	10091.0647967011	12093.365379186684	8816.78448589363	11976.057596906154	6403.801487504622	7335.44251904492	10146.487446544515	9639.36171219547	6385.138079507703	11654.86339697137
ARG+POLYAMINE-SYN	3440.695815251639	1722.061740044688	1340.8825415018262	1915.0346619535717	2327.693125656543	906.6478058498981	1863.1782867049537	1242.2617228751214	1261.297069585392	1369.4011851008702	2035.0973195774006	1212.910655957807
ARGDEG-PWY	863.5579895930886	45.21319056308086	7.232787316633528	1.8040425936223745	55.79873072394816	0.765533449648537	37.4932359155894	0.0	228.50092899999476	48.79411570585925	256.4800211873841	125.61555309423316
ARGORNPROST-PWY	1004.6462814106889	875.4467190181815	1478.0153584122409	888.8003509509048	2034.9889350762091	803.3009469525654	269.19531489242667	998.9672186998073	1185.154570225163	557.5137291000076	658.6293640014146	1316.0585111591013
ARGSYN-PWY	7414.731850715751	3562.61617322518	7704.49530236304	7702.213074926935	6965.540413679046	7672.295449578231	4189.663364641743	5487.2892580704665	7186.305750689751	7419.107336816822	4275.9006217153965	7294.846778194435
ARGSYNBSUB-PWY	7690.884907752662	3366.012244610002	7871.060621127263	7472.395415238663	7209.077927599244	7597.495336877348	4113.6262962954	5653.360507503887	7283.778571815631	7855.60380809382	4286.0458481068945	7134.265341460859
ARO-PWY	8924.77754326771	5639.647712463467	9354.396631531838	10294.251201441171	8343.971725553927	10580.082964418067	5875.569254224679	6493.314617656011	9342.556912966553	8888.610949626956	6010.323777715174	9991.30160684364
ASPASN-PWY	6989.5322247201075	6070.196711925601	7206.762791480313	9143.068903727373	5857.364825054878	9710.237450468157	5125.040659110594	4721.544543622136	6860.897839617361	5390.960992845418	4992.079894025252	9055.167978803303
AST-PWY	548.67	29.330000000000002	7.946860647539903	1.3145503942131371	28.000000000000004	0.32999999999999996	23.57	0.0	127.57	26.33	173.57000000000002	70.67
