function	Buffington_201_001	Buffington_201_002	Buffington_201_003	Buffington_201_005	Buffington_201_006	Buffington_201_007	Buffington_201_008	Buffington_201_009	Buffington_201_010	Buffington_201_011	Buffington_201_013	Buffington_201_014
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	9568.0	7477.94	11830.11	12966.31	8045.630000000001	13491.45	7025.9	7344.57	11799.86	9365.97	6952.33	12822.94
1.1.1.136-RXN	127.1	35.17	92.2	276.6	86.4	150.3	5.13	105.63	530.6	99.5	20.0	48.8
1.1.1.215-RXN	540.67	51.33	3.12	0.79	28.0	0.33	23.45	0.0	125.45	26.33	144.95	70.17
1.1.1.220-RXN	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.251-RXN	532.67	11.33	3.0	0.67	28.0	0.33	23.33	0.0	147.32999999999998	26.33	116.33	69.67
1.1.1.261-RXN	1047.6	572.5	2164.2	3066.1	1350.4	2144.3	760.3	1891.3	2551.6	1179.0	546.0	3342.8
1.1.1.264-RXN	5.0	71.0	90.0	25.0	51.0	128.0	9.0	10.0	0.0	22.0	10.0	0.0
1.1.1.271-RXN	1421.11	3119.81	2151.4800000000005	3696.44	2561.48	3971.61	2584.7500000000005	1345.57	2236.48	2808.9	2305.88	5042.13
1.1.1.289-RXN	2.0	11.0	4.0	17.0	0.0	31.0	6.0	1.0	45.0	0.0	12.0	146.0
1.1.1.291-RXN	5.0	71.0	90.0	25.0	51.0	128.0	9.0	10.0	0.0	22.0	10.0	0.0
1.1.1.34-RXN	227.0	0.0	0.0	32.0	600.0	0.0	0.0	314.0	0.0	414.0	40.0	0.0
1.1.1.39-RXN	5958.65	3126.74	5962.21	5466.02	3852.94	5692.12	2763.82	3817.65	6351.539999999999	4485.4400000000005	3170.1	5749.6
1.1.1.83-RXN	569.67	22.33	3.12	54.79	115.33	19.33	42.45	118.0	561.45	29.33	189.95	495.17
1.1.99.25-RXN	16.0	18.0	0.24	0.24	0.0	0.0	0.24	0.0	4.24	0.0	57.24	1.0
1.10.2.2-RXN	16.0	1.0	251.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.11.1.15-RXN	12929.009999999998	8754.17	11557.45	16604.809999999998	10805.509999999998	15646.329999999998	6140.95	8059.370000000001	10715.47	12389.78	6385.009999999999	13972.95
1.12.1.3-RXN	8558.91	2715.9	6266.929999999999	12938.9	7716.219999999999	14487.9	2515.06	6673.969999999999	7256.530000000001	8898.61	2955.34	15062.830000000002
1.12.5.1-RXN	2.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.13.11.15-RXN	8.0	9.0	0.12	0.12	0.0	0.0	0.12	0.0	2.12	0.0	28.62	0.5
1.13.11.49-RXN	4.0	46.0	2.0	9.0	2.5	0.0	40.0	9.5	4.0	9.0	6.0	6.0
1.14.11.1-RXN	15.0	0.0	498.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.14.11.18-RXN	0.0	0.0	249.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.14.19.1-RXN	294.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	105.0	0.0
1.15.1.2-RXN	5068.86	1773.52	5240.49	3716.18	3714.16	4523.01	2379.67	3689.86	3895.06	4379.9400000000005	2483.62	3695.6
1.17.1.1-RXN	2.0	25.0	77.0	0.0	59.0	49.0	26.0	0.0	0.0	4.0	0.0	0.0
1.17.4.2-RXN	10242.19	7957.220000000001	11931.67	13290.33	9788.24	14717.62	7307.339999999999	8528.869999999999	12906.1	10194.47	6862.610000000001	15767.98
1.17.99.1-RXN	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.18.1.2-RXN	7057.4400000000005	2305.95	6936.92	6109.43	4987.29	6840.79	2665.79	4177.57	6159.59	5345.22	2917.22	4903.57
1.2.1.2-RXN	3413.36	1915.33	1987.84	867.68	3527.0	1902.16	1244.83	1306.71	1160.4	2361.26	1146.8	1913.84
1.2.1.27-RXN	195.83	114.84	846.45	37.79	319.5	168.67000000000002	10.79	130.84	82.95	26.17	46.95	94.5
1.2.1.58-RXN	24.0	23.0	6.0	16.0	7.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
1.2.1.9-RXN	672.0799999999999	31.25	86.53	12.47	183.2	36.84	21.07	50.63	54.03	103.67	76.53	19.4
1.2.3.3-RXN	0.0	1410.58	3.5	1.0	13.0	0.0	11.0	315.34	50.66	0.34	157.76	7.66
1.2.4.4-RXN	550.89	61.95	1147.58	969.55	1666.23	1702.55	109.54	1502.2	541.41	3498.37	121.75	1899.09
1.2.7.4-RXN	749.1899999999999	442.23	2806.51	1864.89	960.25	2252.29	653.84	1983.6	2467.96	836.14	470.91	3920.0
1.2.7.5-RXN	170.83	121.0	244.0	172.0	432.0	228.0	61.0	204.67	55.0	97.9	10.0	3.0
1.2.7.7-RXN	757.0	0.0	0.0	114.0	1828.0	0.0	0.0	956.0	0.0	1316.0	120.0	0.0
1.2.7.8-RXN	4891.42	1875.1	5684.3	8478.380000000001	5808.96	11777.92	930.42	5072.24	3587.0200000000004	5554.22	2198.86	9265.34
1.2.99.7-RXN	166.53	384.0	447.0	408.0	597.0	637.0	158.0	280.87	604.4	119.6	118.8	1464.0
1.21.4.1-RXN	510.75	880.0	1083.0	871.25	598.75	865.0	848.75	259.0	2230.0	375.5	1279.25	1651.0
1.21.4.4-RXN	377.07	404.01	434.0	142.25	1166.75	922.0	111.74	438.67	414.0	154.3	99.25	2059.0
1.3.1.20-RXN	0.0	6.0	2.0	0.0	2.0	9.0	0.0	10.0	9.0	0.0	0.0	68.0
1.3.1.25-RXN	8.0	9.0	0.12	0.12	0.0	0.0	0.12	0.0	2.12	0.0	28.62	0.5
1.3.1.54-RXN	2624.4300000000003	592.16	2422.78	1257.52	1938.58	1490.48	1417.5	1547.1	1813.9	2987.1	1648.1799999999998	2002.6
1.3.1.9-RXN	8169.95	6678.66	9573.2	12373.15	7700.34	12217.87	5623.53	6402.6900000000005	7958.91	8809.46	5804.799999999999	11665.84
1.3.99.16-RXN	30.0	0.0	498.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.3.99.23-RXN	254.0	0.0	99.0	0.0	17.0	246.0	2.0	2.0	56.0	53.0	278.0	0.0
1.3.99.5-RXN	796.9	184.22000000000003	736.8199999999999	3452.69	417.56	3477.46	131.20999999999998	916.88	936.04	1168.0	126.0	2996.0
1.4.1.11-RXN	243.33	115.0	113.33	619.0	774.67	203.0	22.0	130.34	139.0	225.33	71.33	438.0
1.4.1.21-RXN	375.63	220.66000000000005	485.45	758.4200000000001	883.59	1316.54	107.89	841.17	603.73	664.12	135.37	2947.04
1.4.3.19-RXN	15.0	0.0	249.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.5.1.20-RXN	5459.63	4564.83	7383.18	8721.5	6219.93	9155.98	5238.07	4676.610000000001	7022.49	7075.63	5049.389999999999	7223.029999999999
1.5.1.24-RXN	0.0	6.17	0.0	5.0	4.0	15.0	0.0	187.17	380.83	0.17	29.0	19.33
