	dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
Buffington_201_001	17878	15287	14947	14983	11874	11624	65
Buffington_201_002	19088	17182	17084	17082	13958	13067	68.5
Buffington_201_003	18775	16559	16210	16325	10384	9823	52.3
Buffington_201_005	22986	19944	19626	19702	12955	11687	50.8
Buffington_201_006	19611	17239	16950	17055	14279	13796	70.3
Buffington_201_007	23630	20788	20447	20592	11756	11154	47.2
Buffington_201_008	19337	17473	17289	17369	14730	14362	74.3
Buffington_201_009	13076	11231	11026	11041	8213	7857	60.1
Buffington_201_010	22531	19794	19514	19593	12000	10948	48.6
Buffington_201_011	19323	15999	15563	15652	12508	12126	62.8
Buffington_201_013	17213	15100	14852	14940	12958	12374	71.9
Buffington_201_014	21178	17680	17555	17583	10654	9932	46.9
